episode,actions,rewards
355,2,-99.0
356,10,-93.0
357,4,3.0
358,8,-95.0
359,2,-99.0
360,2,-99.0
361,14,212.0
362,2,-99.0
363,2,-199.0
364,2,-500.0
365,2,-300.0
366,2,-299.0
367,2,-199.0
368,6,-196.0
369,2,-300.0
370,2,-99.0
371,2,-300.0
372,2,-199.0
373,6,-297.0
374,2,-300.0
375,12,-291.0
376,16,112.0
377,6,104.0
378,2,-500.0
379,2,-199.0
380,2,-400.0
381,2,-400.0
382,24,120.0
383,2,-99.0
384,6,-195.0
385,2,-500.0
386,2,-99.0
387,4,-500.0
388,2,-300.0
389,6,-297.0
390,2,-99.0
391,2,-199.0
392,2,-299.0
393,14,110.0
394,4,-297.0
395,2,-400.0
396,2,-400.0
397,2,-300.0
398,2,-400.0
399,2,-299.0
400,2,-500.0
401,2,-99.0
402,10,-91.0
403,2,-400.0
404,28,-377.0
405,2,-99.0
406,2,-300.0
407,4,-599.0
408,2,-99.0
409,2,-300.0
410,8,-395.0
411,2,-199.0
412,4,-97.0
413,2,-300.0
414,6,-196.0
415,2,-500.0
416,2,-99.0
417,8,-495.0
418,8,-194.0
419,8,-95.0
420,2,-199.0
421,6,-196.0
422,4,-97.0
423,2,-500.0
424,2,-99.0
425,2,-400.0
426,2,-299.0
427,2,-99.0
428,6,-95.0
429,6,-196.0
430,8,-94.0
431,2,-299.0
432,4,-298.0
433,2,-500.0
434,18,-387.0
435,2,-500.0
436,6,4.0
437,6,-296.0
438,2,-99.0
439,2,-300.0
440,2,-299.0
441,2,-300.0
442,4,-198.0
443,14,-190.0
444,2,-99.0
445,2,-300.0
446,2,-300.0
447,2,-99.0
448,2,-99.0
449,8,107.0
450,4,-299.0
451,6,-396.0
452,2,-300.0
453,4,-399.0
454,4,-700.0
455,12,110.0
456,4,-299.0
457,2,-99.0
458,2,-199.0
459,28,-379.0
460,4,-98.0
461,2,-300.0
462,8,-597.0
463,8,-95.0
464,6,-96.0
465,2,-299.0
466,2,-199.0
467,2,-500.0
468,2,-300.0
469,4,-600.0
470,2,-400.0
471,2,-99.0
472,66,58.0
473,2,-400.0
474,2,-299.0
475,2,-199.0
476,28,-77.0
477,2,-99.0
478,12,110.0
479,6,-297.0
480,2,-500.0
481,2,-199.0
482,6,105.0
483,2,-99.0
484,2,-500.0
485,2,-99.0
486,2,-99.0
487,2,-99.0
488,4,-399.0
489,4,3.0
490,2,-300.0
491,2,-300.0
492,6,-296.0
493,10,-192.0
494,10,7.0
495,4,-97.0
496,4,-398.0
497,2,-199.0
498,6,104.0
499,2,-500.0
500,6,-195.0
501,4,-198.0
502,4,-500.0
503,2,-500.0
504,2,-300.0
505,4,3.0
506,2,-300.0
507,2,-299.0
508,6,-95.0
509,2,-99.0
510,4,-299.0
511,2,-99.0
512,6,5.0
513,2,-299.0
514,12,-393.0
515,4,-599.0
516,4,-98.0
517,4,103.0
518,10,-91.0
519,2,-400.0
520,4,-298.0
521,6,-498.0
522,4,-298.0
523,2,-500.0
524,2,-99.0
525,8,-194.0
526,2,-300.0
527,2,-300.0
528,4,-198.0
529,4,-399.0
530,2,-300.0
531,2,-99.0
532,2,-99.0
533,2,-400.0
534,6,-195.0
535,2,-300.0
536,2,-99.0
537,2,-199.0
538,2,-300.0
539,10,-393.0
540,2,-99.0
541,4,-98.0
542,2,-299.0
543,2,-300.0
544,2,-400.0
545,2,-99.0
546,2,-199.0
547,2,-500.0
548,2,-400.0
549,2,-199.0
550,2,-500.0
551,2,-300.0
552,2,-500.0
553,10,-194.0
554,2,-400.0
555,2,-300.0
556,6,-296.0
557,8,-496.0
558,2,-99.0
559,2,-99.0
560,2,-199.0
561,2,-99.0
562,4,-298.0
563,12,-391.0
564,2,-99.0
565,4,-98.0
566,2,-500.0
567,6,-396.0
568,2,-99.0
569,2,-99.0
570,4,3.0
571,2,-300.0
572,2,-199.0
573,6,-197.0
574,2,-199.0
575,2,-99.0
576,2,-300.0
577,8,-195.0
578,4,-197.0
579,8,-95.0
580,8,6.0
581,2,-400.0
582,2,-500.0
583,6,-197.0
584,6,-95.0
585,2,-500.0
586,2,-99.0
587,4,-298.0
588,4,-399.0
589,2,-99.0
590,4,-97.0
591,2,-300.0
592,2,-500.0
593,4,-399.0
594,2,-99.0
595,16,-487.0
596,2,-299.0
597,2,-99.0
598,2,-99.0
599,4,-97.0
600,2,-300.0
601,10,-193.0
602,22,-183.0
603,8,6.0
604,2,-500.0
605,2,-299.0
606,2,-300.0
607,2,-300.0
608,6,-97.0
609,2,-199.0
610,2,-299.0
611,12,-191.0
612,2,-99.0
613,2,-300.0
614,4,103.0
615,2,-400.0
616,8,206.0
617,2,-99.0
618,6,104.0
619,2,-99.0
620,2,-300.0
621,2,-400.0
622,2,-400.0
623,2,-99.0
624,2,-299.0
625,2,-300.0
626,2,-99.0
627,2,-99.0
628,2,-99.0
629,6,-197.0
630,4,-399.0
631,2,-99.0
632,14,413.0
633,2,-300.0
634,6,4.0
635,8,-698.0
636,6,5.0
637,2,-199.0
638,2,-300.0
639,8,-497.0
640,8,-396.0
641,2,-400.0
642,2,-99.0
643,8,-396.0
644,16,-589.0
645,2,-99.0
646,4,103.0
647,2,-500.0
648,2,-99.0
649,4,-398.0
650,6,-597.0
651,2,-299.0
652,2,-300.0
653,4,-98.0
654,2,-300.0
655,6,-95.0
656,2,-300.0
657,2,-199.0
658,2,-199.0
659,4,-197.0
660,4,-97.0
661,96,-802.0806644513475
662,2,-300.0
663,4,3.0
664,2,-300.0
665,2,-400.0
666,2,-199.0
667,2,-99.0
668,2,-299.0
669,8,106.0
670,2,-300.0
671,2,-300.0
672,2,-99.0
673,2,-299.0
674,16,215.0
675,4,-298.0
676,4,-97.0
677,4,-298.0
678,16,-388.0
679,16,112.0
680,2,-199.0
681,2,-99.0
682,2,-500.0
683,2,-99.0
684,2,-300.0
685,2,-99.0
686,2,-99.0
687,2,-99.0
688,2,-500.0
689,24,-283.0
690,2,-99.0
691,2,-199.0
692,14,-188.0
693,2,-99.0
694,4,-198.0
695,2,-300.0
696,4,-198.0
697,2,-199.0
698,6,-397.0
699,6,-497.0
700,2,-300.0
701,2,-299.0
702,4,-399.0
703,4,3.0
