rewards,lengths,energy,recharges,targets
-6.739521484375000000e+03,1.090000000000000000e+02,4.320000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-9.091390625000000000e+03,1.070000000000000000e+02,4.240000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.729720458984375000e+03,1.080000000000000000e+02,4.280000000000000000e+02,8.000000000000000000e+00,0.000000000000000000e+00
-5.672425781250000000e+03,1.050000000000000000e+02,4.160000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-7.285534179687500000e+03,1.090000000000000000e+02,4.320000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.853940429687500000e+03,1.070000000000000000e+02,4.240000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.206676757812500000e+03,1.070000000000000000e+02,4.240000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.122679199218750000e+03,1.070000000000000000e+02,4.240000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-6.124027343750000000e+03,1.060000000000000000e+02,4.200000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-6.015077636718750000e+03,1.060000000000000000e+02,4.200000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-6.705270019531250000e+03,1.110000000000000000e+02,4.400000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
