rewards,lengths,energy,recharges,targets
-2.069674560546875000e+03,1.130000000000000000e+02,2.240000000000000000e+02,8.000000000000000000e+00,0.000000000000000000e+00
-2.153786865234375000e+03,1.150000000000000000e+02,2.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.431893310546875000e+03,1.090000000000000000e+02,2.160000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.824288940429687500e+03,1.100000000000000000e+02,2.180000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.786843261718750000e+03,1.090000000000000000e+02,2.160000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.751070068359375000e+03,1.080000000000000000e+02,2.140000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.128393554687500000e+03,1.060000000000000000e+02,2.100000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.615897949218750000e+03,1.130000000000000000e+02,2.240000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.114785156250000000e+03,1.110000000000000000e+02,2.200000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.457393554687500000e+03,1.110000000000000000e+02,2.200000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.672939453125000000e+03,1.120000000000000000e+02,2.220000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
