rewards,lengths,energy,recharges,targets
-8.800291015625000000e+03,1.100000000000000000e+02,4.360000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-7.675083984375000000e+03,1.080000000000000000e+02,4.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.794242675781250000e+03,1.050000000000000000e+02,4.160000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.484221191406250000e+03,1.100000000000000000e+02,4.360000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.968151855468750000e+03,1.100000000000000000e+02,4.360000000000000000e+02,3.000000000000000000e+00,0.000000000000000000e+00
-4.736991210937500000e+03,1.090000000000000000e+02,4.320000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.627116210937500000e+03,1.090000000000000000e+02,4.320000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.099680664062500000e+03,1.070000000000000000e+02,4.240000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-7.094191894531250000e+03,1.090000000000000000e+02,4.320000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-7.875650878906250000e+03,1.080000000000000000e+02,4.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.871402343750000000e+03,1.050000000000000000e+02,4.160000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
