,episode,actions,rewards
265,265,4,-1102.0
266,266,3,-1200.0
267,267,3,-1101.0
268,268,16,-1114.0
269,269,48,-2136.0
270,270,14,-1310.0
271,271,7,-1204.0
272,272,3,-1101.0
273,273,1,-1000.0
274,274,6,-1203.0
275,275,2,-1001.0
276,276,7,-1105.0
277,277,1,-1000.0
278,278,1,-1000.0
279,279,6,-1005.0
280,280,6,-1104.0
281,281,2,-1100.0
282,282,1,-1000.0
283,283,5,-1103.0
284,284,4,-1003.0
285,285,6,-1005.0
286,286,4,-1102.0
287,287,2,-1100.0
288,288,12,-1407.0
289,289,1,-1000.0
290,290,1,-1000.0
291,291,1,-1000.0
292,292,1,-1000.0
293,293,4,-1102.0
294,294,2,-1001.0
295,295,1,-1000.0
296,296,5,-1103.0
297,297,1,-1000.0
298,298,10,-1108.0
299,299,7,-1204.0
300,300,1,-1000.0
301,301,1,-1000.0
302,302,1,-1000.0
303,303,21,-1713.0
304,304,1,-1000.0
305,305,9,-1107.0
306,306,2,-1001.0
307,307,40,-1435.0
308,308,1,-1000.0
309,309,16,-1114.0
310,310,8,-1007.0
311,311,1,-1000.0
312,312,2,-1100.0
313,313,3,-1002.0
314,314,4,-1201.0
315,315,1,-1000.0
316,316,20,-1217.0
317,317,8,-1205.0
318,318,7,-1105.0
319,319,6,-1005.0
320,320,26,-1421.0
321,321,4,-1102.0
322,322,30,-1623.0
323,323,10,-1207.0
324,324,3,-1002.0
325,325,1,-1000.0
326,326,1,-1000.0
327,327,1,-1000.0
328,328,1,-1000.0
329,329,3,-1101.0
330,330,1,-1000.0
331,331,3,-1101.0
332,332,1,-1000.0
333,333,3,-1002.0
334,334,6,-1203.0
335,335,4,-1003.0
336,336,2,-1100.0
337,337,1,-1000.0
338,338,16,-1114.0
339,339,7,-1105.0
340,340,11,-1109.0
341,341,1,-1000.0
342,342,3,-1002.0
343,343,2,-1100.0
344,344,5,-1301.0
345,345,2,-1001.0
346,346,1,-1000.0
347,347,1,-1000.0
348,348,17,-1214.0
349,349,1,-1000.0
350,350,3,-1002.0
351,351,8,-1205.0
352,352,1,-1000.0
353,353,1,-1000.0
354,354,3,-1200.0
355,355,7,-1402.0
356,356,1,-1000.0
357,357,14,-1211.0
358,358,2,-1001.0
359,359,1,-1000.0
360,360,1,-1000.0
361,361,2,-1001.0
362,362,9,-1206.0
363,363,1,-1000.0
364,364,48,-1641.0
365,365,7,-1105.0
366,366,1,-1000.0
367,367,1,-1000.0
368,368,5,-1004.0
369,369,8,-1205.0
370,370,29,-1424.0
371,371,27,-1719.0
372,372,7,-1006.0
373,373,17,-1808.0
374,374,3,-1200.0
375,375,2,-1001.0
376,376,1,-1000.0
377,377,11,-1109.0
378,378,11,-1109.0
379,379,1,-1000.0
380,380,1,-1000.0
381,381,1,-1000.0
382,382,20,-1217.0
383,383,12,-1110.0
384,384,1,-1000.0
385,385,1,-1000.0
386,386,1,-1000.0
387,387,3,-1101.0
388,388,10,-1207.0
389,389,1,-1000.0
390,390,1,-1000.0
391,391,2,-1100.0
392,392,2,-1100.0
393,393,1,-1000.0
394,394,4,-1102.0
395,395,6,-1005.0
396,396,2,-1100.0
397,397,1,-1000.0
398,398,3,-1101.0
399,399,2,-1001.0
400,400,2,-1001.0
401,401,5,-1004.0
402,402,5,-1103.0
403,403,3,-1101.0
404,404,2,-1100.0
405,405,3,-1101.0
406,406,1,-1000.0
407,407,1,-1000.0
408,408,1,-1000.0
409,409,5,-1103.0
410,410,3,-1200.0
411,411,1,-1000.0
412,412,1,-1000.0
413,413,4,-1003.0
414,414,21,-1713.0
415,415,1,-1000.0
416,416,10,-1207.0
417,417,1,-1000.0
418,418,26,-1322.0
419,419,3,-1101.0
420,420,1,-1000.0
421,421,4,-1003.0
422,422,1,-1000.0
423,423,1,-1000.0
424,424,4,-1003.0
425,425,4,-1003.0
426,426,6,-1104.0
427,427,7,-1105.0
428,428,2,-1001.0
429,429,5,-1004.0
430,430,3,-1200.0
431,431,7,-1006.0
432,432,6,-1104.0
433,433,1,-1000.0
434,434,3,-1002.0
435,435,4,-1102.0
436,436,2,-1001.0
437,437,8,-1205.0
438,438,2,-1100.0
439,439,1,-1000.0
440,440,2,-1100.0
441,441,15,-1212.0
442,442,3,-1101.0
443,443,2,-1001.0
444,444,1,-1000.0
445,445,3,-1002.0
446,446,3,-1002.0
447,447,1,-1000.0
448,448,1,-1000.0
449,449,6,-1005.0
450,450,3,-1002.0
451,451,1,-1000.0
452,452,1,-1000.0
453,453,1,-1000.0
454,454,8,-1106.0
455,455,17,-1115.0
456,456,46,-1540.0
457,457,1,-1000.0
458,458,2,-1001.0
459,459,4,-1102.0
460,460,3,-1002.0
461,461,1,-1000.0
462,462,51,-1842.0
463,463,4,-1201.0
464,464,4,-1003.0
465,465,5,-1004.0
466,466,13,-1210.0
467,467,1,-1000.0
468,468,3,-1002.0
469,469,2,-1100.0
470,470,3,-1101.0
471,471,1,-1000.0
472,472,1,-1000.0
473,473,1,-1000.0
474,474,1,-1000.0
475,475,1,-1000.0
476,476,1,-1000.0
477,477,1,-1000.0
478,478,1,-1000.0
479,479,9,-1107.0
480,480,1,-1000.0
481,481,2,-1001.0
482,482,28,-1522.0
483,483,4,-1201.0
484,484,1,-1000.0
485,485,1,-1000.0
486,486,2,-1001.0
487,487,2,-1100.0
488,488,1,-1000.0
489,489,153,-3627.0
490,490,24,-1122.0
491,491,7,-1105.0
492,492,1,-1000.0
493,493,1,-1000.0
494,494,1,-1000.0
495,495,6,-1203.0
496,496,6,-1203.0
497,497,4,-1003.0
498,498,2,-1100.0
499,499,18,-1314.0
500,500,5,-1202.0
501,501,4,-1102.0
502,502,3,-1101.0
503,503,52,-1645.0
504,504,1,-1000.0
505,505,7,-1105.0
506,506,27,-1620.0
507,507,3,-1101.0
508,508,2,-1001.0
509,509,4,-1102.0
510,510,2,-1100.0
511,511,1,-1000.0
512,512,11,-1406.0
513,513,1,-1000.0
514,514,2,-1001.0
515,515,1,-1000.0
516,516,2,-1100.0
517,517,2,-1001.0
518,518,4,-1300.0
519,519,1,-1000.0
520,520,7,-1006.0
521,521,4,-1003.0
522,522,1,-1000.0
523,523,15,-1410.0
524,524,11,-1109.0
525,525,1,-1000.0
526,526,17,-1214.0
527,527,2,-1001.0
528,528,25,-1618.0
529,529,2,-1001.0
530,530,1,-1000.0
531,531,10,-1108.0
532,532,3,-1101.0
533,533,8,-1106.0
534,534,9,-1305.0
535,535,1,-1000.0
536,536,1,-1000.0
537,537,11,-1010.0
